Removed modality,F1 drop,AUC drop,Recall drop,FNR increase,FPR increase
Char,0.010583172521260398,0.0018079792892559121,0.02114080574391708,0.02114080574391703,-0.0004248088360237893
Structural,0.004237768183089741,-4.015943124768828e-05,-0.0031910650179496347,-0.0031910650179497414,0.012531860662701785
Text,0.0014096950097762795,0.0007044845376021902,0.002592740327084231,0.002592740327084163,0.00021240441801189465
