,precision,recall,f1-score,support
Benign,0.9903178278257209,0.9993627867459643,0.9948197483877789,4708.0
XSS,0.9993964996982498,0.9908256880733946,0.9950926389584377,5014.0
accuracy,0.9949598847973667,0.9949598847973667,0.9949598847973667,0.9949598847973667
macro avg,0.9948571637619854,0.9950942374096794,0.9949561936731083,9722.0
weighted avg,0.995000039383925,0.9949598847973667,0.9949604882891657,9722.0
