Model,Accuracy,Precision,Recall,F1-score,AUC,FPR,FNR,TN,FP,FN,TP,Training Time (s),Avg Epoch Time (s),Prediction Time (s),Prediction Time / Sample (ms)
Structural + Char,0.995062744291298,0.9981942215088283,0.9922217790187475,0.9951990398079615,0.9990385035748671,0.0019116397621070519,0.007778220981252493,4699,9,39,4975,109.24789408000015,9.098739338166638,0.3079460799995104,0.03167517794687414
Text + Structural + Char,0.9949598847973667,0.9993964996982498,0.9908256880733946,0.9950926389584377,0.99893687649094,0.000637213254035684,0.009174311926605505,4705,3,46,4968,143.29856566699982,13.006906782454651,0.4806988600025761,0.049444441473212926
Char-only CNN,0.994651306315573,0.9967961553864637,0.992820103709613,0.9948041566746603,0.9989732233179553,0.0033984706881903144,0.007179896290386917,4692,16,36,4978,65.66746215600006,7.290444008333452,0.23498741599405548,0.024170686689370037
Text + Char,0.9945484468216417,0.9995971802618329,0.9898284802552852,0.9946888465778134,0.9990443495680235,0.0004248088360237893,0.010171519744714799,4706,2,51,4963,87.12098257499974,12.433404771714256,0.47597272999382767,0.04895831413225958
Text-only BiLSTM,0.9938284303641226,0.9981898632341111,0.9898284802552852,0.993991588223513,0.9987266325486598,0.0019116397621070519,0.010171519744714799,4699,9,51,4963,52.4983442179996,6.548239854124915,0.2900289059989518,0.029832226496497822
Text + Structural,0.9932112734005348,0.9985892785167271,0.9882329477463103,0.9933841218925421,0.9986722817572142,0.0014868309260832626,0.011767052253689668,4701,7,59,4955,73.51284595199968,9.174788501625017,0.3159757839980557,0.032501109236582566
Structural-only MLP,0.9916683809915655,0.9983835118205698,0.9854407658556044,0.991869918699187,0.9978696650228976,0.0016992353440951572,0.014559234144395692,4700,8,73,4941,53.01853103999974,4.073354776615465,0.12800189199742817,0.013166209833103083
