Model,Accuracy,Precision,Recall,F1-score,AUC,FPR,FNR,TN,FP,FN,TP,Training Time (s),Avg Epoch Time (s),Prediction Time (s),Prediction Time / Sample (ms)
Text + Structural + Char,0.999218872051242,0.9995427526291724,0.9981735159817352,0.9988576650673978,0.9999902408239347,0.00023747328425552126,0.0018264840182648401,4210,1,4,2186,44.73729739400005,4.964553428333336,0.32992059400055496,0.05154203936893531
Char-only CNN,0.9990626464614903,0.9981751824817519,0.9990867579908675,0.998630762209037,0.9999959878942842,0.000949893137022085,0.0009132420091324201,4207,4,2,2188,24.061071762999973,1.6017429015999975,0.05113953800048421,0.007989304483750072
Structural + Char,0.9987501952819872,0.9977189781021898,0.9986301369863013,0.9981743496120493,0.9999956625884153,0.0011873664212776064,0.0013698630136986301,4206,5,3,2187,31.17999880100001,2.0755896052666913,0.06828291499880379,0.010667538665646584
Text + Char,0.9982815185127324,0.9972615244180739,0.997716894977169,0.9974891577265464,0.9999845479712299,0.0014248397055331276,0.00228310502283105,4205,6,5,2185,49.231675021,4.916298241500039,0.3257642400011491,0.050892710514161714
Text-only BiLSTM,0.9978128417434776,0.9968036529680365,0.9968036529680365,0.9968036529680365,0.9995895724288095,0.0016623129897886488,0.0031963470319634705,4204,7,7,2183,30.70541082799997,3.828824105499997,0.2839133029995651,0.04435452319943213
Text + Structural,0.997656616153726,0.9958960328317373,0.9972602739726028,0.9965776865160849,0.9999679031542742,0.0021372595582996915,0.0027397260273972603,4202,9,6,2184,53.860477891000016,4.138233957076925,0.2934350830005883,0.04584206889557699
Structural-only MLP,0.9946883299484456,0.9940421631530706,0.9904109589041096,0.9922232387923148,0.9994570645049006,0.0030871526953217764,0.009589041095890411,4198,13,21,2169,13.29114597900002,0.8841257144666657,0.022421639999720355,0.0035028339321544065
