,precision,recall,f1-score,support
Benign,0.9990507831039392,0.9997625267157445,0.9994065281899109,4211.0
XSS,0.9995427526291724,0.9981735159817352,0.9988576650673978,2190.0
accuracy,0.999218872051242,0.999218872051242,0.999218872051242,0.999218872051242
macro avg,0.9992967678665559,0.9989680213487399,0.9991320966286543,6401.0
weighted avg,0.9992191026259296,0.999218872051242,0.9992187434315445,6401.0
